[19941016, 19950118.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19941012, 19950118.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19941024, 19950114.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19941016, 19941231.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19941012, 19941231.0, 0.0, 1.0, 1.0, 0.0, 1.0]
[19941010, 19941231.0, 1.0, 1.0, 1.0, 0.0, 1.0]
[19941012, 19941231.0, 1.0, 1.0, 0.0, 0.0, 1.0]
[19941012, 19941226.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19941010, 19941226.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19941010, 19941226.0, 1.0, 1.0, 0.0, 0.0, 1.0]
[19941010, 19941223.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19941009, 19941223.0, 1.0, 1.0, 1.0, 0.0, 1.0]
[19941016, 19941217.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19941012, 19941217.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19941012, 19941217.0, 0.0, 1.0, 0.0, 1.0, 1.0]
[19941009, 19941217.0, 0.0, 1.0, 1.0, 1.0, 1.0]
[19941009, 19941217.0, 1.0, 0.0, 1.0, 1.0, 1.0]
[19941002, 19941217.0, 1.0, 1.0, 1.0, 1.0, 1.0]
[19941009, 19941217.0, 1.0, 1.0, 0.0, 1.0, 1.0]
[19941012, 19941213.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19941009, 19941213.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19941009, 19941213.0, 0.0, 1.0, 0.0, 1.0, 1.0]
[19941009, 19941213.0, 1.0, 0.0, 0.0, 1.0, 1.0]
[19941002, 19941213.0, 0.0, 1.0, 1.0, 1.0, 1.0]
[19941002, 19941213.0, 1.0, 0.0, 1.0, 1.0, 1.0]
[19940930, 19941213.0, 1.0, 1.0, 0.0, 1.0, 1.0]
[19940930, 19941210.0, 1.0, 1.0, 0.0, 0.0, 1.0]
[19941002, 19941210.0, 0.0, 1.0, 1.0, 0.0, 1.0]
[19941012, 19941210.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19941002, 19941207.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19941009, 19941207.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19941009, 19941207.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19941002, 19941204.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19940930, 19941204.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19940915, 19941204.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19940911, 19941204.0, 0.0, 1.0, 1.0, 1.0, 1.0]
[19940915, 19941204.0, 1.0, 1.0, 1.0, 0.0, 1.0]
[19940915, 19941130.0, 1.0, 1.0, 0.0, 0.0, 1.0]
[19940915, 19941130.0, 0.0, 1.0, 1.0, 0.0, 1.0]
[19940915, 19941128.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19940911, 19941128.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19940911, 19941128.0, 0.0, 1.0, 0.0, 1.0, 1.0]
[19940908, 19941128.0, 0.0, 1.0, 1.0, 1.0, 1.0]
[19940908, 19941126.0, 0.0, 1.0, 1.0, 0.0, 1.0]
[19940915, 19941126.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19940915, 19941126.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19940930, 19941126.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19940930, 19941126.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19940922, 19941125.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19940909, 19941122.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19940828, 19941121.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19940920, 19941104.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19940920, 19941104.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19940902, 19941102.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19940908, 19941102.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19940828, 19941101.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19940828, 19941030.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19940828, 19941011.0, 0.0, 1.0, 0.0, 0.0, 1.0]

1

[19941028, 19941210.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19941112, 19950124.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19941028, 19950124.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19941028, 19950124.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19941209, 19950127.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19941212, 19950209.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19941118, 19950209.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19941118, 19950209.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19941114, 19950209.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19941215, 19950215.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19941212, 19950215.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19941208, 19950215.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19941129, 19950215.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19941230, 19950216.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950118, 19950305.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950105, 19950305.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19941223, 19950305.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19950121, 19950307.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950118, 19950307.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19950218, 19950314.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950121, 19950314.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19950121, 19950314.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19950119, 19950314.0, 0.0, 1.0, 0.0, 1.0, 1.0]
[19941230, 19950314.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19950219, 19950326.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950218, 19950326.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19950218, 19950326.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19950131, 19950326.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19950123, 19950326.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19950121, 19950326.0, 0.0, 1.0, 0.0, 1.0, 1.0]
[19950121, 19950326.0, 1.0, 0.0, 0.0, 1.0, 1.0]
[19950119, 19950326.0, 1.0, 1.0, 0.0, 1.0, 1.0]
[19950219, 19950328.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19950215, 19950328.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19950219, 19950328.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19950217, 19950328.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19950214, 19950328.0, 1.0, 1.0, 0.0, 0.0, 1.0]
[19950131, 19950328.0, 0.0, 1.0, 1.0, 0.0, 1.0]
[19950131, 19950328.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19950123, 19950328.0, 1.0, 1.0, 1.0, 0.0, 1.0]
[19950131, 19950328.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19950123, 19950328.0, 0.0, 1.0, 1.0, 1.0, 1.0]
[19950123, 19950328.0, 1.0, 0.0, 1.0, 1.0, 1.0]
[19950121, 19950328.0, 1.0, 1.0, 0.0, 1.0, 1.0]
[19950214, 19950328.0, 1.0, 0.0, 0.0, 1.0, 1.0]
[19950218, 19950328.0, 0.0, 1.0, 0.0, 1.0, 1.0]
[19950121, 19950326.0, 1.0, 1.0, 0.0, 0.0, 1.0]
[19950123, 19950326.0, 0.0, 1.0, 1.0, 0.0, 1.0]
[19950123, 19950326.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19950214, 19950326.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19950121, 19950319.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19950105, 19950319.0, 1.0, 0.0, 0.0, 1.0, 1.0]
[19950119, 19950318.0, 1.0, 1.0, 0.0, 0.0, 1.0]
[19950123, 19950314.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19941230, 19950303.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19941222, 19950303.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19941216, 19950228.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19941230, 19950227.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19941222, 19950227.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19941214, 19950227.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19941214, 19950227.0, 1.0, 0.0, 0.0, 1.0, 1.0]
[19941212, 19950227.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19941212, 19950226.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19941208, 19950226.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19941214, 19950225.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19941212, 19950225.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19941207, 19950225.0, 1.0, 0.0, 0.0, 1.0, 1.0]
[19941212, 19950224.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19941208, 19950224.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19941208, 19950220.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19941207, 19950220.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19941202, 19950220.0, 1.0, 0.0, 1.0, 1.0, 1.0]
[19941202, 19950215.0, 1.0, 0.0, 0.0, 1.0, 1.0]
[19941202, 19950215.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19941129, 19950214.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19941118, 19950214.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19941207, 19950214.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19941202, 19950209.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19941028, 19950118.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19941028, 19941231.0, 0.0, 1.0, 0.0, 0.0, 1.0]

2

[19941228, 19950215.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19941230, 19950216.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950118, 19950305.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950105, 19950305.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19941228, 19950305.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19950121, 19950307.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950118, 19950307.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19950218, 19950314.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950121, 19950314.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19950121, 19950314.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19950119, 19950314.0, 0.0, 1.0, 0.0, 1.0, 1.0]
[19941230, 19950314.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19950219, 19950326.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950218, 19950326.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19950218, 19950326.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19950131, 19950326.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19950123, 19950326.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19950121, 19950326.0, 0.0, 1.0, 0.0, 1.0, 1.0]
[19950121, 19950326.0, 1.0, 0.0, 0.0, 1.0, 1.0]
[19950119, 19950326.0, 1.0, 1.0, 0.0, 1.0, 1.0]
[19950219, 19950328.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19950215, 19950328.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19950219, 19950328.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19950217, 19950328.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19950214, 19950328.0, 1.0, 1.0, 0.0, 0.0, 1.0]
[19950131, 19950328.0, 0.0, 1.0, 1.0, 0.0, 1.0]
[19950131, 19950328.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19950123, 19950328.0, 1.0, 1.0, 1.0, 0.0, 1.0]
[19950131, 19950328.0, 0.0, 0.0, 1.0, 1.0, 1.0]
[19950123, 19950328.0, 0.0, 1.0, 1.0, 1.0, 1.0]
[19950123, 19950328.0, 1.0, 0.0, 1.0, 1.0, 1.0]
[19950121, 19950328.0, 1.0, 1.0, 0.0, 1.0, 1.0]
[19950214, 19950328.0, 1.0, 0.0, 0.0, 1.0, 1.0]
[19950218, 19950328.0, 0.0, 1.0, 0.0, 1.0, 1.0]
[19950121, 19950326.0, 1.0, 1.0, 0.0, 0.0, 1.0]
[19950123, 19950326.0, 0.0, 1.0, 1.0, 0.0, 1.0]
[19950123, 19950326.0, 1.0, 0.0, 1.0, 0.0, 1.0]
[19950214, 19950326.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19950121, 19950319.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19950105, 19950319.0, 1.0, 0.0, 0.0, 1.0, 1.0]
[19950119, 19950318.0, 1.0, 1.0, 0.0, 0.0, 1.0]
[19950123, 19950314.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19941230, 19950303.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19941230, 19950227.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19941228, 19950227.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19941228, 19950225.0, 0.0, 0.0, 0.0, 1.0, 1.0]

3

[19950228, 19950326.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950228, 19950328.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19950228, 19950328.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19950228, 19950328.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19950228, 19950328.0, 1.0, 0.0, 0.0, 0.0, 1.0]

4

[19950324, 19950326.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950329, 19950328.0, 0.0, 0.0, 1.0, 0.0, 0.0]
[19950311.0, 19950328.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19950313.0, 19950328.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19950313.0, 19950328.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19950323.0, 19950328.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[19950311.0, 19950328.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19950313.0, 19950329.0, 0.0, 0.0, 1.0, 0.0, 1.0]

5

[19950324, 19950326.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950329, 19950328.0, 0.0, 0.0, 1.0, 0.0, 0.0]
[19950311.0, 19950328.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19950313.0, 19950328.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19950313.0, 19950328.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19950323.0, 19950328.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[19950311.0, 19950328.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19950313.0, 19950329.0, 0.0, 0.0, 1.0, 0.0, 1.0]

6

[19950324, 19950326.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[19950329, 19950328.0, 0.0, 0.0, 1.0, 0.0, 0.0]
[19950311.0, 19950328.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[19950313.0, 19950328.0, 0.0, 1.0, 0.0, 0.0, 1.0]
[19950313.0, 19950328.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[19950323.0, 19950328.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[19950311.0, 19950328.0, 0.0, 0.0, 0.0, 1.0, 1.0]
[19950313.0, 19950329.0, 0.0, 0.0, 1.0, 0.0, 1.0]
